G_id	pid	Cluster
NC_021563.1	YP_008130357.1_64	A
NC_028695.2	YP_009191448.1_40	A
NC_069154.1	YP_010582691.1_40	A
NC_069155.1	YP_010582758.1_50	A
NC_073319.1	YP_010749258.1_53	A
NC_073320.1	YP_010749347.1_61	A
NC_073318.1	YP_010749194.1_61	A
NC_042084.1	YP_009620106.1_26	A
NC_073323.1	YP_010749527.1_27	A
NC_041897.1	YP_009597306.1_26	A
NC_041898.1	YP_009597357.1_26	A
NC_073325.1	YP_010749670.1_4	A
NC_073315.1	YP_010748930.1_28	A
NC_073324.1	YP_010749624.1_44	A
NC_073322.1	YP_010749475.1_46	A
NC_048181.1	YP_009821861.1_25	A
NC_069156.1	YP_010582773.1_5	A
NC_006940.2	YP_308655.1_54	A
NC_009232.2	YP_001110816.2_27	A
NC_019539.1	YP_007010481.1_28	A
NC_021775.1	YP_008239652.1_55	A
NC_021777.1	YP_008239738.1_29	A
NC_022752.1	YP_008767027.1_28	A
NC_022754.1	YP_008767198.1_27	A
NC_027993.1	YP_009168807.1_27	A
NC_027994.1	YP_009168856.1_24	A
NC_028698.1	YP_009191569.1_16	A
NC_041991.1	YP_009608582.1_27	A
NC_041992.1	YP_009608663.1_42	A
NC_069146.1	YP_010582164.1_57	A
NC_069147.1	YP_010582233.1_64	A
NC_069148.1	YP_010582260.1_27	A
NC_069149.1	YP_010582359.1_61	A
NC_069150.1	YP_010582406.1_33	A
NC_069151.1	YP_010582466.1_34	A
NC_069152.1	YP_010582522.1_27	A
NC_069153.1	YP_010582605.1_27	A
NC_073169.1	YP_010745715.1_18	A
NC_073172.1	YP_010745932.1_46	A
NC_073173.1	YP_010745993.1_42	A
NC_073174.1	YP_010746054.1_42	A
NC_073175.1	YP_010746101.1_29	A
NC_073176.1	YP_010746159.1_28	A
NC_073178.1	YP_010746288.1_31	A
NC_073179.1	YP_010746349.1_30	A
NC_073181.1	YP_010746468.1_30	A
NC_073182.1	YP_010746525.1_29	A
NC_073183.1	YP_010746577.1_24	A
NC_073184.1	YP_010746642.1_32	A
NC_073185.1	YP_010746711.1_42	A
NC_073186.1	YP_010746744.1_32	A
NC_073187.1	YP_010746797.1_25	A
NC_073188.1	YP_010746874.1_48	A
NC_073189.1	YP_010746947.1_55	A
NC_073190.1	YP_010747004.1_50	A
NC_073191.1	YP_010747048.1_26	A
NC_073192.1	YP_010747095.1_6	A
NC_073193.1	YP_010747216.1_59	A
NC_073194.1	YP_010747222.1_3	A
NC_073195.1	YP_010747307.1_28	A
NC_073196.1	YP_010747352.1_5	A
NC_073197.1	YP_010747470.1_58	A
NC_073198.1	YP_010747531.1_59	A
NC_073199.1	YP_010747561.1_29	A
NC_073200.1	YP_010747627.1_31	A
